,Unnamed: 0,singkatan,kata asal
770,,mka,maka 
771,,mkan,makan 
772,,mkanan,makanan 
773,,mkanya,makanya 
774,,mkn,makan 
775,,mknan,makanan 
776,,mkny,maka itu
777,,mksd,maksud 
778,,mksdny,maksudnya 
779,,mksdnya,maksudnya 
780,,mksdq,maksudku 
781,,mksh,terima kasih
782,,mksih,terima kasih
783,,mlah,malah 
784,,mlm,malam 
785,,mls,malas 
786,,mmg,memang 
787,,mn,mana 
788,,mna,mana 
789,,mndg,lebih baik
790,,mndgn,lebih baik
791,,mndgr,mendengar 
792,,mndi,mandi 
793,,mnding,lebih baik
794,,mndptkn,mendapatkan 
795,,mng,menang 
796,,mnrt,menurut 
797,,mnsempurnakan, 
798,,mnt,minta 
799,,mnta,minta 
800,,mntp,mantap 
801,,mnum,minum 
802,,mnyakitiku,menyakitiku 
803,,mnyngkn,menyenangkan 
804,,mo,mau 
805,,moga,semoga 
806,,mosok,masa 
807,,mreka,mereka 
808,,mrh,marah 
809,,mrk,mereka 
810,,ms,mas 
811,,msg,masing 
812,,msh,masih 
813,,msih,masih 
814,,msk,masuk 
815,,mski,meski 
816,,mskipun,meskipun 
817,,mskn,masakan 
818,,msl,misal 
819,,mslh,masalah 
820,,msti,harus 
821,,muke,muka 
822,,mulu,terus 
823,,musti,harus 
824,,muup,maaf
825,,mu'uv,maaf
826,,mw,mau 
828,,mz,mas 
829,,nabung,tabung 
830,,naek,naik 
831,,nahan,tahan 
832,,nak,anak
833,,nambah,tambah 
834,,nanya,tanya 
835,,napa,kenapa 
836,,napas,nafas 
837,,nape,kenapa 
838,,naq,anak
839,,nasgor,nasi goreng
840,,nax,anak
841,,nda,tidak
842,,ndak,tidak
843,,ndax,tidak
844,,ndk,tidak 
845,,negri,negeri 
846,,nelen,telan 
847,,nemenin,menemani 
848,,nemu,temu 
849,,nengok,tengok 
850,,ngabungin,menggabungkan
851,,ngadain,mengadakan 
852,,ngajak,mengajak 
854,,ngajar,ajar 
855,,ngak,tidak 
856,,ngakak,terbahak-bahak 
857,,ngambek,marah 
858,,ngambil,ambil 
859,,nganter,antar 
860,,nganterin,antar 
861,,ngarep,mengharap 
862,,ngarepinnya,mengharapkannya 
863,,ngasi,kasih 
864,,ngasih,kasih 
865,,ngegosip,gosip 
866,,ngehadepin,menghadapi 
867,,ngeliatin,melihat 
868,,ngeluh,keluh 
869,,ngerasa,merasa 
870,,ngerasain,merasakan 
871,,ngerjain,mengerjakan 
872,,ngerokok,merokok 
874,,ngetik,ketik 
875,,ngga,tidak 
877,,nggak,tidak 
879,,nggax,tidak
880,,nggesek,menggesek
881,,nggk,tidak 
882,,nggosok,menggosok
